Scenario - demo_task
Logfile written - synthetic

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration

2	0	Response	1	0	0	1	
2	0	Response	1	1500	1500	1	
2	0	Response	1	3000	3000	1	
2	1	Picture	iti	36331	0	1	30000
2	2	Picture	cue	66519	0	1	5000
2	2	Picture	probe	71690	0	1	20000
2	2	Response	3	78178	6488	1	
2	3	Picture	iti	117422	0	1	30000
2	4	Picture	cue	147532	0	1	5000
2	4	Picture	probe	152695	0	1	20000
2	4	Response	7	160438	7743	1	
2	5	Picture	iti	192829	0	1	30000
2	6	Pulse	99	222829	1	1	
2	6	Picture	cue	222942	0	1	5000
2	6	Picture	probe	228070	0	1	20000
2	6	Response	6	234984	6914	1	
2	7	Picture	iti	265619	0	1	30000
2	8	Picture	cue	295727	0	1	5000
2	8	Picture	probe	300861	0	1	20000
2	8	Response	4	307456	6595	1	
2	9	Picture	iti	335393	0	1	30000
2	10	Pulse	99	365393	1	1	
2	10	Picture	cue	365438	0	1	5000
2	10	Picture	probe	370521	0	1	20000
2	10	Response	7	375325	4804	1	
2	11	Picture	iti	413871	0	1	30000
2	12	Pulse	99	443871	1	1	
2	12	Picture	cue	443985	0	1	5000
2	12	Picture	probe	449091	0	1	20000
2	12	Response	5	455483	6392	1	
2	13	Picture	iti	495130	0	1	30000
2	14	Pulse	99	525130	1	1	
2	14	Picture	cue	525244	0	1	5000
2	14	Picture	probe	530285	0	1	20000
2	14	Response	7	534401	4116	1	
2	15	Picture	iti	562789	0	1	30000
2	16	Pulse	99	592789	1	1	
2	16	Picture	cue	592916	0	1	5000
2	16	Picture	probe	598044	0	1	20000
2	16	Response	5	606279	8235	1	
2	17	Picture	iti	641378	0	1	30000
2	18	Picture	cue	671496	0	1	5000
2	18	Picture	probe	676585	0	1	20000
2	18	Response	6	685618	9033	1	
2	19	Picture	iti	713086	0	1	30000
2	20	Picture	cue	743265	0	1	5000
2	20	Picture	probe	748307	0	1	20000
2	20	Response	7	753421	5114	1	
2	21	Picture	iti	782407	0	1	30000
2	22	Picture	cue	812529	0	1	5000
2	22	Picture	probe	817608	0	1	20000
2	22	Response	7	825142	7534	1	
2	23	Picture	iti	862307	0	1	30000
2	24	Pulse	99	892307	1	1	
2	24	Picture	cue	892464	0	1	5000
2	24	Picture	probe	897614	0	1	20000
2	24	Response	4	900881	3267	1	
2	25	Picture	iti	937101	0	1	30000
2	26	Pulse	99	967101	1	1	
2	26	Picture	cue	967276	0	1	5000
2	26	Picture	probe	972435	0	1	20000
2	26	Response	3	979287	6852	1	
2	27	Picture	iti	1005758	0	1	30000
2	28	Picture	cue	1035785	0	1	5000
2	28	Picture	probe	1040800	0	1	20000
2	28	Response	3	1045693	4893	1	
2	29	Picture	iti	1074841	0	1	30000
2	30	Pulse	99	1104841	1	1	
2	30	Picture	cue	1105015	0	1	5000
2	30	Picture	probe	1110042	0	1	20000
2	30	Response	4	1117468	7426	1	
2	31	Picture	iti	1139646	0	1	30000
2	32	Pulse	99	1169646	1	1	
2	32	Picture	cue	1169829	0	1	5000
2	32	Picture	probe	1175023	0	1	20000
2	33	Picture	iti	1226896	0	1	30000
2	34	Pulse	99	1256896	1	1	
2	34	Picture	cue	1256959	0	1	5000
2	34	Picture	probe	1262131	0	1	20000
2	35	Picture	iti	1305906	0	1	30000
2	36	Picture	cue	1335912	0	1	5000
2	36	Picture	probe	1340922	0	1	20000
2	36	Response	3	1348492	7570	1	
2	37	Picture	iti	1380917	0	1	30000
2	38	Pulse	99	1410917	1	1	
2	38	Picture	cue	1410957	0	1	5000
2	38	Picture	probe	1416145	0	1	20000
2	38	Response	3	1422007	5862	1	
2	39	Picture	iti	1450327	0	1	30000
2	40	Pulse	99	1480327	1	1	
2	40	Picture	cue	1480336	0	1	5000
2	40	Picture	probe	1485337	0	1	20000
2	40	Response	7	1490179	4842	1	
2	41	Picture	iti	1514085	0	1	30000
2	42	Pulse	99	1544085	1	1	
2	42	Picture	cue	1544210	0	1	5000
2	42	Picture	probe	1549217	0	1	20000
2	42	Response	3	1553390	4173	1	
2	43	Picture	iti	1582238	0	1	30000
2	44	Picture	cue	1612397	0	1	5000
2	44	Picture	probe	1617577	0	1	20000
2	44	Response	4	1623297	5720	1	
2	45	Picture	iti	1646559	0	1	30000
2	46	Picture	cue	1676639	0	1	5000
2	46	Picture	probe	1681665	0	1	20000
2	47	Picture	iti	1725844	0	1	30000
2	48	Pulse	99	1755844	1	1	
2	48	Picture	cue	1756043	0	1	5000
2	48	Picture	probe	1761143	0	1	20000
2	48	Response	5	1765918	4775	1	
2	49	Picture	iti	1794608	0	1	30000
2	50	Pulse	99	1824608	1	1	
2	50	Picture	cue	1824715	0	1	5000
2	50	Picture	probe	1829882	0	1	20000
2	51	Picture	iti	1888164	0	1	30000
2	52	Picture	cue	1918335	0	1	5000
2	52	Picture	probe	1923349	0	1	20000
2	52	Response	4	1933085	9736	1	
2	53	Picture	iti	1958566	0	1	30000
2	54	Pulse	99	1988566	1	1	
2	54	Picture	cue	1988682	0	1	5000
2	54	Picture	probe	1993844	0	1	20000
2	54	Response	3	2002788	8944	1	
2	55	Picture	iti	2031073	0	1	30000
2	56	Pulse	99	2061073	1	1	
2	56	Picture	cue	2061186	0	1	5000
2	56	Picture	probe	2066204	0	1	20000
2	56	Response	7	2071288	5084	1	
2	57	Picture	iti	2098965	0	1	30000
2	58	Picture	cue	2129124	0	1	5000
2	58	Picture	probe	2134305	0	1	20000
2	58	Response	3	2140223	5918	1	
2	59	Picture	iti	2165374	0	1	30000
2	60	Pulse	99	2195374	1	1	
2	60	Picture	cue	2195478	0	1	5000
2	60	Picture	probe	2200519	0	1	20000
2	60	Response	3	2205685	5166	1	
2	61	Picture	iti	2233777	0	1	30000
2	62	Pulse	99	2263777	1	1	
2	62	Picture	cue	2263782	0	1	5000
2	62	Picture	probe	2268828	0	1	20000
2	62	Response	6	2275644	6816	1	
2	63	Picture	iti	2310716	0	1	30000
2	64	Pulse	99	2340716	1	1	
2	64	Picture	cue	2340880	0	1	5000
2	64	Picture	probe	2345977	0	1	20000
2	64	Response	4	2352723	6746	1	
2	65	Picture	iti	2387135	0	1	30000
2	66	Pulse	99	2417135	1	1	
2	66	Picture	cue	2417140	0	1	5000
2	66	Picture	probe	2422288	0	1	20000
2	66	Response	7	2431830	9542	1	
2	67	Picture	iti	2457968	0	1	30000
2	68	Picture	cue	2488137	0	1	5000
2	68	Picture	probe	2493259	0	1	20000
2	68	Response	7	2496953	3694	1	
2	69	Picture	iti	2521038	0	1	30000
2	70	Picture	cue	2551112	0	1	5000
2	70	Picture	probe	2556288	0	1	20000
2	70	Response	6	2562543	6255	1	
2	71	Picture	iti	2586057	0	1	30000
2	72	Pulse	99	2616057	1	1	
2	72	Picture	cue	2616107	0	1	5000
2	72	Picture	probe	2621305	0	1	20000
2	72	Response	3	2628059	6754	1	
2	73	Picture	iti	2663051	0	1	30000
2	74	Pulse	99	2693051	1	1	
2	74	Picture	cue	2693214	0	1	5000
2	74	Picture	probe	2698338	0	1	20000
2	74	Response	3	2706746	8408	1	
2	75	Picture	iti	2736263	0	1	30000
2	76	Pulse	99	2766263	1	1	
2	76	Picture	cue	2766341	0	1	5000
2	76	Picture	probe	2771526	0	1	20000
2	77	Picture	iti	2827596	0	1	30000
2	78	Pulse	99	2857596	1	1	
2	78	Picture	cue	2857742	0	1	5000
2	78	Picture	probe	2862837	0	1	20000
2	78	Response	6	2867749	4912	1	
2	79	Picture	iti	2892525	0	1	30000
2	80	Picture	cue	2922626	0	1	5000
2	80	Picture	probe	2927657	0	1	20000
2	80	Response	5	2935942	8285	1	
2	81	Picture	iti	2968957	0	1	30000
2	82	Picture	cue	2999134	0	1	5000
2	82	Picture	probe	3004160	0	1	20000
2	83	Picture	iti	3059573	0	1	30000
2	84	Picture	cue	3089758	0	1	5000
2	84	Picture	probe	3094938	0	1	20000
2	84	Response	5	3103178	8240	1	
2	85	Picture	iti	3138354	0	1	30000
2	86	Pulse	99	3168354	1	1	
2	86	Picture	cue	3168449	0	1	5000
2	86	Picture	probe	3173517	0	1	20000
2	86	Response	6	3181926	8409	1	
2	87	Picture	iti	3218251	0	1	30000
2	88	Picture	cue	3248326	0	1	5000
2	88	Picture	probe	3253427	0	1	20000
2	88	Response	6	3257783	4356	1	
2	89	Picture	iti	3297530	0	1	30000
2	90	Pulse	99	3327530	1	1	
2	90	Picture	cue	3327639	0	1	5000
2	90	Picture	probe	3332817	0	1	20000
2	90	Response	7	3341401	8584	1	
2	91	Picture	iti	3364745	0	1	30000
2	92	Pulse	99	3394745	1	1	
2	92	Picture	cue	3394790	0	1	5000
2	92	Picture	probe	3399929	0	1	20000
2	92	Response	6	3405259	5330	1	
2	93	Picture	iti	3427649	0	1	30000
2	94	Picture	cue	3457823	0	1	5000
2	94	Picture	probe	3462988	0	1	20000
2	95	Picture	iti	3512699	0	1	30000
2	96	Pulse	99	3542699	1	1	
2	96	Picture	cue	3542880	0	1	5000
2	96	Picture	probe	3548051	0	1	20000
2	96	Response	5	3554021	5970	1	
2	97	Picture	iti	3577893	0	1	30000
2	98	Pulse	99	3607893	1	1	
2	98	Picture	cue	3608086	0	1	5000
2	98	Picture	probe	3613194	0	1	20000
2	99	Picture	iti	3670118	0	1	30000
2	100	Pulse	99	3700118	1	1	
2	100	Picture	cue	3700249	0	1	5000
2	100	Picture	probe	3705314	0	1	20000
2	100	Response	4	3712787	7473	1	
2	101	Picture	iti	3748091	0	1	30000
2	102	Picture	cue	3778151	0	1	5000
2	102	Picture	probe	3783254	0	1	20000
2	102	Response	4	3787825	4571	1	
2	103	Picture	iti	3823316	0	1	30000
2	104	Pulse	99	3853316	1	1	
2	104	Picture	cue	3853323	0	1	5000
2	104	Picture	probe	3858475	0	1	20000
2	104	Response	4	3867351	8876	1	
2	105	Picture	iti	3900424	0	1	30000
2	106	Pulse	99	3930424	1	1	
2	106	Picture	cue	3930547	0	1	5000
2	106	Picture	probe	3935617	0	1	20000
2	106	Response	6	3941077	5460	1	
2	107	Picture	iti	3973076	0	1	30000
2	108	Picture	cue	4003160	0	1	5000
2	108	Picture	probe	4008342	0	1	20000
2	108	Response	3	4010743	2401	1	
2	109	Picture	iti	4038315	0	1	30000
2	110	Pulse	99	4068315	1	1	
2	110	Picture	cue	4068363	0	1	5000
2	110	Picture	probe	4073466	0	1	20000
2	110	Response	3	4077219	3753	1	
2	111	Picture	iti	4107673	0	1	30000
2	112	Pulse	99	4137673	1	1	
2	112	Picture	cue	4137855	0	1	5000
2	112	Picture	probe	4142974	0	1	20000
2	112	Response	3	4151972	8998	1	
2	113	Picture	iti	4172733	0	1	30000
2	114	Pulse	99	4202733	1	1	
2	114	Picture	cue	4202788	0	1	5000
2	114	Picture	probe	4207974	0	1	20000
2	114	Response	3	4213529	5555	1	
2	115	Picture	iti	4246508	0	1	30000
2	116	Picture	cue	4276704	0	1	5000
2	116	Picture	probe	4281755	0	1	20000
2	116	Response	7	4289080	7325	1	
2	117	Picture	iti	4328292	0	1	30000
2	118	Pulse	99	4358292	1	1	
2	118	Picture	cue	4358448	0	1	5000
2	118	Picture	probe	4363483	0	1	20000
2	119	Picture	iti	4417717	0	1	30000
2	120	Pulse	99	4447717	1	1	
2	120	Picture	cue	4447848	0	1	5000
2	120	Picture	probe	4452992	0	1	20000
2	120	Response	3	4458372	5380	1	
