Scenario - demo_task
Logfile written - synthetic

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration

3	0	Response	1	0	0	1	
3	0	Response	1	1500	1500	1	
3	0	Response	2	3000	3000	1	
3	1	Picture	iti	44289	0	1	30000
3	2	Pulse	99	74289	1	1	
3	2	Picture	cue	74437	0	1	5000
3	2	Picture	probe	79453	0	1	20000
3	2	Response	7	90155	10702	1	
3	3	Picture	iti	118033	0	1	30000
3	4	Pulse	99	148033	1	1	
3	4	Picture	cue	148216	0	1	5000
3	4	Picture	probe	153336	0	1	20000
3	4	Response	7	161238	7902	1	
3	5	Picture	iti	197047	0	1	30000
3	6	Pulse	99	227047	1	1	
3	6	Picture	cue	227085	0	1	5000
3	6	Picture	probe	232144	0	1	20000
3	6	Response	3	242624	10480	1	
3	7	Picture	iti	264922	0	1	30000
3	8	Pulse	99	294922	1	1	
3	8	Picture	cue	295073	0	1	5000
3	8	Picture	probe	300083	0	1	20000
3	8	Response	3	307468	7385	1	
3	9	Picture	iti	336496	0	1	30000
3	10	Pulse	99	366496	1	1	
3	10	Picture	cue	366680	0	1	5000
3	10	Picture	probe	371779	0	1	20000
3	10	Response	7	382366	10587	1	
3	11	Picture	iti	417135	0	1	30000
3	12	Picture	cue	447169	0	1	5000
3	12	Picture	probe	452262	0	1	20000
3	12	Response	4	460404	8142	1	
3	13	Picture	iti	496820	0	1	30000
3	14	Pulse	99	526820	1	1	
3	14	Picture	cue	526992	0	1	5000
3	14	Picture	probe	532103	0	1	20000
3	14	Response	6	542259	10156	1	
3	15	Picture	iti	581268	0	1	30000
3	16	Pulse	99	611268	1	1	
3	16	Picture	cue	611417	0	1	5000
3	16	Picture	probe	616521	0	1	20000
3	16	Response	5	624035	7514	1	
3	17	Picture	iti	645174	0	1	30000
3	18	Picture	cue	675329	0	1	5000
3	18	Picture	probe	680500	0	1	20000
3	18	Response	7	688992	8492	1	
3	19	Picture	iti	727933	0	1	30000
3	20	Pulse	99	757933	1	1	
3	20	Picture	cue	758115	0	1	5000
3	20	Picture	probe	763282	0	1	20000
3	20	Response	7	770765	7483	1	
3	21	Picture	iti	799716	0	1	30000
3	22	Pulse	99	829716	1	1	
3	22	Picture	cue	829732	0	1	5000
3	22	Picture	probe	834855	0	1	20000
3	22	Response	3	844628	9773	1	
3	23	Picture	iti	878278	0	1	30000
3	24	Picture	cue	908283	0	1	5000
3	24	Picture	probe	913358	0	1	20000
3	24	Response	6	922308	8950	1	
3	25	Picture	iti	946404	0	1	30000
3	26	Pulse	99	976404	1	1	
3	26	Picture	cue	976561	0	1	5000
3	26	Picture	probe	981755	0	1	20000
3	27	Picture	iti	1040969	0	1	30000
3	28	Pulse	99	1070969	1	1	
3	28	Picture	cue	1071040	0	1	5000
3	28	Picture	probe	1076169	0	1	20000
3	28	Response	3	1085380	9211	1	
3	29	Picture	iti	1125233	0	1	30000
3	30	Pulse	99	1155233	1	1	
3	30	Picture	cue	1155283	0	1	5000
3	30	Picture	probe	1160387	0	1	20000
3	30	Response	5	1169436	9049	1	
3	31	Picture	iti	1194754	0	1	30000
3	32	Picture	cue	1224840	0	1	5000
